type	latitude	longitude	altitude (m)	color	scale	sym	name
W	25.618945046	-100.261022774	672.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.610290987	-100.254851842	766.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.606979241	-100.248058859	915.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.601375386	-100.233163196	1327.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.609304911	-100.250909933	867.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.616607738	-100.260941252	652.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.634685137	-100.237690477	1598.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.620645606	-100.251842243	1080.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.617512910	-100.233050180	918.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.638489616	-100.234677716	1560.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.618545373	-100.228060002	796.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.612337894	-100.245158744	1328.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.606335497	-100.238943083	1304.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.640039279	-100.228792366	1201.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.619904936	-100.255601376	871.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.619853735	-100.232937281	901.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.599418020	-100.229194048	1132.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.613827534	-100.247654164	1272.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.609025723	-100.241420791	1368.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.637158642	-100.233208275	1587.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.610687996	-100.258820700	638.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.614293925	-100.257665187	754.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.636837228	-100.238257555	1498.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.631001125	-100.253226743	1076.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.638102041	-100.244607370	1156.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.639900317	-100.231618190	1292.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.638001606	-100.251485762	1031.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.630932750	-100.253308236	1073.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.636023337	-100.223747278	1123.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.642116687	-100.233018414	1218.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.614542792	-100.226676331	861.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.628351370	-100.233569874	1170.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.644707010	-100.223264225	770.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.630227541	-100.242526803	1440.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.610186053	-100.263722021	562.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.636867445	-100.250718645	1094.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.634281540	-100.255248956	878.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.641609703	-100.222109910	814.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.632326676	-100.233547150	1616.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.617861426	-100.246743503	1492.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.630767679	-100.252178976	1146.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.616645297	-100.225310223	743.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.627991503	-100.237285915	1486.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.614242194	-100.251835623	972.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.633577320	-100.243799421	1243.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.626581705	-100.230781894	1048.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.639652471	-100.230389417	1285.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.617948707	-100.260589678	671.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.642585615	-100.242754564	1157.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.603075326	-100.244039109	983.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.636889338	-100.225413257	1229.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.611400217	-100.244074765	1398.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.607474817	-100.257634327	626.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
